timeframe,rule_id,status,bars
D1,MURPHY_0021,FAIL,727
D1,MURPHY_0021,NOT_EVALUABLE,2
D1,MURPHY_0021,PASS,825
D1,MURPHY_0022,FAIL,1094
D1,MURPHY_0022,NOT_EVALUABLE,271
D1,MURPHY_0022,PASS,189
D1,MURPHY_0023,FAIL,1091
D1,MURPHY_0023,NOT_EVALUABLE,271
D1,MURPHY_0023,PASS,192
H1,MURPHY_0021,FAIL,16215
H1,MURPHY_0021,NOT_EVALUABLE,159
H1,MURPHY_0021,PASS,15011
H1,MURPHY_0022,FAIL,26920
H1,MURPHY_0022,NOT_EVALUABLE,459
H1,MURPHY_0022,PASS,4006
H1,MURPHY_0023,FAIL,26939
H1,MURPHY_0023,NOT_EVALUABLE,459
H1,MURPHY_0023,PASS,3987
H4,MURPHY_0021,FAIL,3257
H4,MURPHY_0021,NOT_EVALUABLE,18
H4,MURPHY_0021,PASS,4764
H4,MURPHY_0022,FAIL,6413
H4,MURPHY_0022,NOT_EVALUABLE,312
H4,MURPHY_0022,PASS,1314
H4,MURPHY_0023,FAIL,6505
H4,MURPHY_0023,NOT_EVALUABLE,312
H4,MURPHY_0023,PASS,1222
