report_date,contract_market_code,open_interest_all,source
2025-01-07,096742,188770,CFTC financial_lf010725
2025-01-14,096742,200826,CFTC financial_lf011425
2025-01-21,096742,212688,CFTC financial_lf012125
2025-01-28,096742,206821,CFTC financial_lf012825
2025-02-04,096742,204644,CFTC financial_lf020425
2025-02-11,096742,208138,CFTC financial_lf021125
2025-02-18,096742,203370,CFTC financial_lf021825
2025-02-25,096742,200468,CFTC financial_lf022525
2025-03-04,096742,200634,CFTC financial_lf030425
2025-03-11,096742,248457,CFTC financial_lf031125
2025-03-18,096742,180841,CFTC financial_lf031825
